surface,process,silver_gold_guess,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
sigatan,suffixation,sigat+an,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+atan,sig+at+an,sig+at+an,sig+atan,sig+at+an,sig+at+an,sig+atan,sig+at+an,,,
alipan,suffixation,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,alipan,,,
midian,suffixation,midi+an,mid+ian,mid+ian,mid+ian,mid+ian,mid+ian,mid+ian,mi+d+ian,mid+ian,mid+ian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+dian,mi+di+an,,,
capampangan,suffixation,capampang+an,cap+ampangan,cap+ampangan,capampangan,cap+ampangan,cap+ampangan,capampangan,cap+ampangan,cap+ampangan,capampangan,cap+ampangan,cap+ampangan,capampangan,ca+pampangan,ca+pampangan,capampangan,ca+pampangan,ca+pampangan,capampangan,ca+pam+pangan,capam+pangan,capampangan,ca+pampangan,ca+pampangan,capampangan,c+apampangan,,,
myuman,suffixation,myum+an,m+yu+man,m+yu+man,m+yuman,m+yu+man,m+yu+man,myuman,m+yu+man,m+yu+man,myuman,m+yu+man,m+yu+man,myuman,m+yu+man,m+yu+man,myuman,m+yu+man,m+yu+man,myuman,m+yu+man,m+yu+man,myuman,m+yu+man,m+yu+man,myu+man,m+yu+man,,,
batiawan,suffixation,batiaw+an,bat+ia+wan,bat+ia+wan,bat+iawan,bat+ia+wan,bat+ia+wan,batiawan,bat+ia+wan,bat+ia+wan,batiawan,bat+ia+wan,bat+ia+wan,batiawan,bat+ia+wan,bat+ia+wan,batiawan,bat+ia+wan,bat+ia+wan,batiawan,bat+ia+wan,bat+ia+wan,bat+ia+wan,bat+ia+wan,bat+ia+wan,batia+wan,bati+a+wan,,,
dangalan,suffixation,dangal+an,dang+alan,dangalan,dangalan,dang+alan,dang+alan,dang+alan,dang+alan,dang+alan,dang+alan,dang+alan,dang+alan,dang+alan,dang+alan,dang+alan,dang+alan,dangal+an,dangal+an,dangal+an,d+ang+alan,d+ang+alan,d+angalan,dang+alan,dang+alan,dang+alan,dangalan,,,
saupan,suffixation,saup+an,sa+upan,saupan,saupan,sa+u+pan,sa+upan,sa+upan,sa+u+pan,sa+upan,sa+upan,sa+u+pan,sa+upan,sa+upan,sa+u+pan,sa+upan,sa+upan,saup+an,saup+an,saup+an,sa+u+pan,sau+pan,sau+pan,saup+an,saup+an,saup+an,saupan,,,
labanan,suffixation,laban+an,labanan,labanan,labanan,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,laban+an,la+ban+an,la+ban+an,la+banan,labanan,,,
lakuan,suffixation,laku+an,lak+uan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,lakuan,la+kuan,lakuan,lakuan,lakuan,,,
liguran,suffixation,ligur+an,lig+uran,liguran,liguran,lig+uran,liguran,liguran,lig+uran,liguran,liguran,lig+uran,liguran,liguran,lig+uran,liguran,liguran,lig+uran,liguran,liguran,li+guran,liguran,liguran,li+guran,liguran,liguran,lig+uran,,,
akalinguan,suffixation,akalingu+an,akal+inguan,akal+inguan,akalinguan,akal+ing+uan,akaling+uan,akalinguan,akal+ing+uan,akaling+uan,akalinguan,akal+ing+uan,akaling+uan,akalinguan,akal+ing+uan,akal+ing+uan,akalinguan,aka+linguan,aka+linguan,akalinguan,aka+li+ng+uan,aka+li+ng+uan,akalinguan,aka+li+ng+uan,aka+li+ng+uan,akalinguan,a+kalingu+an,,,
daramdaman,suffixation,daramdam+an,dar+amdaman,daramdaman,daramdaman,dar+amdaman,dar+amdaman,dar+amdaman,dar+amdaman,dar+amdaman,dar+amdaman,dar+amdaman,dar+amdaman,dar+amdaman,dar+amdam+an,dar+amdam+an,dar+amdam+an,da+ramdam+an,da+ramdam+an,da+ramdam+an,da+ram+daman,da+ram+daman,da+ram+daman,da+ramdam+an,da+ramdam+an,da+ramdam+an,daramdaman,,,
sikan,suffixation,sik+an,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,sikan,,,
tanggapan,suffixation,tanggap+an,tanggapan,tanggapan,tanggapan,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tanggap+an,tang+ga+pan,tang+ga+pan,tang+ga+pan,tanggap+an,tanggap+an,tanggap+an,tanggapan,,,
taguimpan,suffixation,taguimp+an,t+agu+impan,t+aguimpan,taguimpan,t+agu+impan,t+aguimpan,taguimpan,tag+u+impan,tag+u+impan,taguimpan,tag+u+impan,tag+u+impan,taguimpan,ta+gu+impan,tagu+impan,taguimpan,ta+gu+impan,tagu+impan,taguimpan,tagu+impan,tagu+impan,taguimpan,tagu+imp+an,tagu+imp+an,taguimpan,taguimpan,,,
ubingan,suffixation,ubing+an,ub+ingan,ubingan,ubingan,ub+ingan,ubingan,ubingan,ub+ingan,ubingan,ubingan,ub+ingan,ubingan,ubingan,ub+ingan,ubingan,ubingan,ub+ing+an,ubingan,ubingan,u+bi+ngan,ubingan,ubingan,u+bi+ngan,ubingan,ubingan,ubingan,,,
sukulan,suffixation,sukul+an,suk+ulan,sukulan,sukulan,suk+ulan,suk+ulan,suk+ulan,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,sukul+an,su+kulan,su+kulan,su+kulan,sukul+an,,,
adwan,suffixation,adw+an,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,ad+wan,ad+wan,adwan,adwa+n,,,
bustan,suffixation,bust+an,bus+tan,bus+tan,bustan,bus+tan,bus+tan,bustan,bus+tan,bus+tan,bustan,bustan,bustan,bustan,bustan,bustan,bustan,bustan,bustan,bustan,bus+tan,bus+tan,bustan,bustan,bustan,bustan,bus+tan,,,
canian,suffixation,cani+an,can+ian,can+ian,canian,can+ian,canian,canian,can+ian,can+ian,canian,can+ian,can+ian,canian,can+ian,can+ian,canian,c+anian,c+anian,canian,c+anian,c+anian,canian,cani+an,cani+an,canian,can+ian,,,
kaban,suffixation,kab+an,ka+ban,ka+ban,kaban,ka+ban,ka+ban,kaban,ka+ban,ka+ban,kaban,ka+ban,ka+ban,kaban,ka+ban,ka+ban,kaban,ka+ban,ka+ban,kaban,ka+ban,ka+ban,kaban,ka+ban,ka+ban,kaban,ka+ban,,,
samban,suffixation,samb+an,s+amban,samban,samban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,sam+ban,samban,,,
aguman,suffixation,agum+an,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,aguman,,,
apalsintan,suffixation,apalsint+an,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+sintan,apal+s+int+an,apal+s+int+an,apal+s+int+an,a+palsintan,,,
siran,suffixation,sir+an,s+iran,s+iran,siran,s+iran,s+iran,siran,s+iran,s+iran,siran,s+iran,s+iran,siran,si+ran,si+ran,siran,siran,siran,siran,si+ran,si+ran,siran,si+ran,si+ran,siran,s+iran,,,
mitakutan,suffixation,mitakut+an,mit+akutan,mit+akutan,mitakutan,mit+ak+utan,mit+ak+utan,mit+ak+utan,mit+ak+utan,mit+ak+utan,mit+ak+utan,mit+ak+utan,mit+ak+utan,mit+ak+utan,m+ita+kut+an,mita+kut+an,mita+kut+an,mi+takut+an,mi+takut+an,mi+takut+an,mi+ta+ku+tan,mi+ta+kutan,mi+ta+kutan,mi+takut+an,mi+takut+an,mi+takut+an,mi+takutan,,,
tikpan,suffixation,tikp+an,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+pan,tik+p+an,tik+p+an,tik+p+an,tik+pan,,,
tipunan,suffixation,tipun+an,t+ipunan,t+ipunan,tipunan,tip+unan,tip+unan,tip+unan,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,tipun+an,,,
capitan,suffixation,capitan,cap+itan,cap+itan,cap+itan,cap+itan,cap+itan,cap+itan,capit+an,capit+an,capit+an,capit+an,capit+an,capit+an,cap+itan,cap+itan,cap+itan,capit+an,capit+an,capit+an,capit+an,capit+an,capit+an,capit+an,capit+an,capit+an,cap+itan,,,
kekaban,suffixation,kekab+an,keka+ban,keka+ban,kekaban,keka+ban,keka+ban,kekaban,keka+ban,keka+ban,kekaban,keka+ban,keka+ban,kekaban,keka+ban,keka+ban,kekaban,keka+ban,keka+ban,kekaban,keka+ban,keka+ban,kekaban,keka+ban,keka+ban,kekaban,keka+ban,,,
kelinguan,suffixation,kelingu+an,kel+inguan,kel+inguan,kelinguan,kel+ing+uan,kel+ing+uan,kelinguan,kel+ing+uan,kel+ing+uan,kelinguan,kel+ing+uan,kel+ing+uan,kelinguan,ke+ling+uan,ke+ling+uan,kelinguan,ke+linguan,ke+linguan,kelinguan,ke+li+ng+uan,ke+li+ng+uan,kelinguan,ke+li+ng+uan,ke+li+ng+uan,kelinguan,ke+ling+uan,,,
nanuman,suffixation,nanum+an,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,nanuman,,,
pilan,suffixation,pil+an,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,pilan,,,
sibukan,suffixation,sibuk+an,sib+ukan,sib+ukan,sibukan,sib+ukan,sib+ukan,sibukan,sib+ukan,sib+ukan,sibukan,sib+uk+an,sib+ukan,sibukan,sib+u+kan,sib+ukan,sibukan,si+bukan,si+bukan,sibukan,sibu+kan,sibu+kan,sibukan,sibu+kan,sibu+kan,sibukan,s+ibukan,,,
bamban,suffixation,bamban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,b+amban,ba+m+ban,,,
bayaran,suffixation,bayar+an,bay+aran,bay+aran,bayaran,bay+aran,bay+aran,bayaran,baya+ran,baya+ran,bayaran,baya+ran,baya+ran,bayaran,baya+ran,baya+ran,bayaran,baya+ran,baya+ran,bayaran,baya+ran,baya+ran,bayaran,baya+ran,baya+ran,bayaran,bayaran,,,
kealan,suffixation,keal+an,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,ke+alan,kea+lan,,,
kimutan,suffixation,kimut+an,k+im+utan,kim+utan,kimutan,k+im+utan,k+im+utan,kim+utan,kimut+an,kimut+an,kimut+an,kimut+an,kimut+an,kimut+an,ki+mu+tan,ki+mu+tan,ki+mu+tan,ki+mu+tan,ki+mu+tan,ki+mu+tan,ki+mu+tan,ki+mu+tan,ki+mu+tan,ki+mu+tan,ki+mu+tan,ki+mu+tan,kimut+an,,,
mipanuanan,suffixation,mipanuan+an,mip+anu+anan,mip+anu+anan,mipanu+anan,mipan+uanan,mipan+uanan,mipan+uanan,mipan+uanan,mipan+uanan,mipan+uanan,mipan+uanan,mipan+uanan,mipan+uanan,mi+pan+uanan,mipan+uanan,mipan+uanan,mi+panu+anan,mi+panu+anan,mi+panuanan,mi+pan+uan+an,mipan+uan+an,mipan+uanan,mi+panu+anan,mi+panu+anan,mi+panu+anan,mi+pan+uanan,,,
dasnan,suffixation,dasn+an,das+nan,das+nan,das+nan,das+nan,das+nan,dasnan,das+nan,das+nan,dasnan,das+nan,das+nan,dasnan,das+nan,das+nan,dasnan,das+nan,das+nan,dasnan,das+nan,das+nan,dasnan,das+nan,das+nan,dasnan,da+s+nan,,,
degulan,suffixation,degul+an,de+g+ulan,deg+ulan,degulan,de+g+ulan,deg+ulan,degulan,de+g+ulan,deg+ulan,degulan,de+g+ulan,deg+ulan,degulan,de+gul+an,de+gul+an,degulan,de+g+ulan,deg+ulan,degulan,de+gul+an,de+gul+an,degulan,de+gul+an,de+gul+an,degulan,de+gul+an,,,
haran,suffixation,har+an,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,har+an,har+an,har+an,h+aran,h+aran,h+aran,h+aran,h+aran,h+aran,har+an,,,
lasakan,suffixation,lasak+an,las+akan,las+akan,las+akan,las+akan,las+akan,las+akan,las+akan,las+akan,las+akan,las+akan,las+akan,las+akan,lasa+kan,lasa+kan,lasa+kan,lasa+kan,lasa+kan,lasa+kan,lasa+kan,lasa+kan,lasa+kan,lasa+kan,lasa+kan,lasa+kan,la+sak+an,,,
talan,suffixation,tal+an,t+alan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,talan,,,
telanan,suffixation,telan+an,tel+anan,tel+anan,telanan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,tel+anan,te+lan+an,te+lan+an,te+lanan,te+lan+an,te+lan+an,te+lanan,te+lan+an,,,
uvasan,suffixation,uvas+an,u+v+asan,uv+asan,uvasan,u+v+asan,uv+asan,uvasan,u+v+asan,u+v+asan,uvasan,u+v+asan,u+v+asan,uvasan,u+v+asan,u+v+asan,uvasan,u+vas+an,u+vas+an,uvasan,u+v+asan,u+v+asan,uvasan,u+v+asan,uv+asan,uvasan,u+va+san,,,
akalingwan,suffixation,akalingw+an,akal+ingwan,akal+ingwan,akal+ingwan,akal+ing+wan,akaling+wan,akalingwan,akal+ing+wan,akaling+wan,akalingwan,akal+ing+wan,akaling+wan,akalingwan,akal+ing+wan,akal+ing+wan,akalingwan,aka+lingwan,aka+lingwan,akalingwan,aka+li+ng+wan,aka+li+ng+wan,akalingwan,aka+li+ng+wan,aka+li+ng+wan,aka+li+ng+wan,a+kalingwan,,,
albugan,suffixation,albug+an,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,albugan,,,
atbusan,suffixation,atbus+an,at+b+usan,at+b+usan,at+busan,at+bus+an,atbus+an,atbus+an,at+bus+an,atbus+an,atbus+an,at+bus+an,atbus+an,atbus+an,at+bus+an,atbus+an,atbus+an,at+bus+an,atbus+an,atbus+an,at+bus+an,at+bus+an,atbus+an,at+bus+an,atbus+an,atbus+an,at+bus+an,,,
camatayan,suffixation,ca+matay+an,c+amat+ayan,camat+ayan,camatayan,c+amat+ayan,c+amatayan,camatayan,c+amat+ayan,c+amatayan,camatayan,c+amat+ayan,c+amatayan,camatayan,c+amat+ayan,camatayan,camatayan,cam+ata+yan,camatayan,camatayan,cam+ata+yan,cam+atayan,camatayan,cam+at+ayan,cam+at+ayan,camatayan,camatayan,,,
kibkuban,suffixation,kibkub+an,k+ib+ku+ban,k+ib+ku+ban,kib+kuban,k+ib+ku+ban,k+ib+ku+ban,kib+kuban,k+ib+ku+ban,k+ib+ku+ban,kib+kuban,k+ib+ku+ban,k+ib+ku+ban,kib+kuban,k+ib+ku+ban,k+ib+ku+ban,kib+kuban,ki+b+ku+ban,ki+b+ku+ban,kib+kuban,ki+b+ku+ban,ki+b+ku+ban,kib+kuban,ki+b+ku+ban,ki+b+ku+ban,ki+b+kuban,ki+b+ku+ban,,,
kundiman,suffixation,kundim+an,kund+i+man,kund+iman,kund+iman,kun+di+man,kun+di+man,kun+diman,kun+di+man,kun+di+man,kun+diman,kun+di+man,kun+di+man,kun+diman,kun+di+man,kun+di+man,kun+diman,kundi+man,kundi+man,kundi+man,kun+di+man,kun+di+man,kun+di+man,kun+di+man,kun+di+man,kun+di+man,kundi+man,,,
kwayan,suffixation,kway+an,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kw+ayan,kwayan,k+wayan,k+wayan,kwayan,kwa+yan,kwa+yan,kwa+yan,k+wa+yan,k+wa+yan,k+wayan,k+wayan,,,
lakwan,suffixation,lakw+an,lak+wan,lak+wan,lakwan,lak+wan,lakwan,lakwan,lak+wan,lakwan,lakwan,lak+wan,lakwan,lakwan,lak+wan,lakwan,lakwan,lakwan,lakwan,lakwan,lak+wan,lakwan,lakwan,lak+wan,lakwan,lakwan,lakwan,,,
likuan,suffixation,liku+an,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,likuan,,,
mirinan,suffixation,mirin+an,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,mirinan,,,
